319630,Life Is Strange,14,16,18,1,9,Overwhelmingly Positive
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,15,25,43,1,8,Very Positive
200710,Torchlight III,15,23,38,0.93,8,Very Positive
231430,Company of Heroes 2,15,24,58,1,8,Very Positive
321040,Dirt 3: Complete Edition,15,27,39,0.96,8,Very Positive
15710,Oddworld: Abe's Exoddus,15,15,15,1,9,Overwhelmingly Positive
558990,Opus Magnum,15,26,42,1,9,Overwhelmingly Positive
41700,S.T.A.L.K.E.R.: Call of Pripyat,15,25,32,1,9,Overwhelmingly Positive
4580,Warhammer 40,000: Dawn of War - Dark Crusade,15,33,52,1,9,Overwhelmingly Positive
242760,The Forest,15,28,57,1,9,Overwhelmingly Positive
507490,Ashes of the Singularity: Escalation,16,23,34,1,8,Very Positive
207170,Legend of Grimrock,16,21,28,1,8,Very Positive
241930,Middle-Earth: Shadow of Mordor,16,24,32,1,8,Very Positive
4550,Titan Quest: Immortal Throne,16,28,40,1,8,Very Positive
50620,Darksiders,17,20,28,1,8,Very Positive
98800,Dungeons of Dredmor,18,32,76,1,8,Very Positive
9350,Supreme Commander,18,31,48,1,8,Very Positive
274520,Darkwood,18,28,44,1,8,Very Positive
6310,The Longest Journey,18,21,22,1,8,Very Positive
228200,Company of Heroes,19,26,82,1,8,Very Positive
20,Team Fortress Classic,19,21,,1,8,Very Positive
211740,Thief II: The Metal Age,20,27,36,1,9,Overwhelmingly Positive
211600,Thief Gold,20,26,35,1,8,Very Positive
300550,Shadowrun: Dragonfall - Director's Cut,21,30,42,1,8,Very Positive
1659420,Uncharted: Legacy of Thieves Collection,21,25,52,1,8,Very Positive
200710,Torchlight II,21,29,76,1,8,Very Positive
464920,Surviving Mars,22,42,118,1,8,Very Positive
238010,Deus Ex: Human Revolution - Director's Cut,23,31,46,1,8,Very Positive
2600,Vampire: The Masquerade - Bloodlines,23,29,40,1,8,Very Positive
98200,Frozen Synapse,24,33,,1,8,Very Positive
1161580,Hardspace: Shipbreaker,27,33,38,1,8,Very Positive
367520,Hollow Knight,27,41,63,1,9,Overwhelmingly Positive
233700,Sword of the Stars: The Pit,27,40,55,1,8,Very Positive
3720,Evil Genius,27,29,36,1,8,Very Positive
34330,Total War: Shogun 2,27,57,216,1,8,Very Positive
310560,Dirt Rally,28,62,139,1,8,Very Positive
32370,Star Wars: Knights of the Old Republic,29,36,48,0.97,8,Very Positive
10,Counter-Strike,29,72,564,1,9,Overwhelmingly Positive
596970,Sunless Skies,29,68,106,1,8,Very Positive
236430,Dark Souls III,32,48,99,0.93,8,Very Positive
475150,Titan Quest: Anniversary Edition,32,45,101,0.97,8,Very Positive
39140,Final Fantasy VII,36,50,82,1,8,Very Positive
39140,Final Fantasy VIII,40,54,80,0.94,8,Very Positive
112100,Avadon: The Black Fortress,40,53,81,1,8,Very Positive
60,Ricochet,40,48,74,1,8,Very Positive
244210,Assetto Corsa,43,76,249,1,8,Very Positive
236430,Dark Souls II,43,63,118,1,8,Very Positive
976730,Halo: The Master Chief Collection,43,69,249,1,8,Very Positive
287700,Metal Gear Solid V: The Phantom Pain,46,81,161,1,8,Very Positive
227300,Euro Truck Simulator 2,47,93,445,1,9,Overwhelmingly Positive
1245620,Elden Ring,58,100,133,1,8,Very Positive
346110,ARK: Survival Evolved,69,252,671,1,8,Very Positive
340,Half-Life 2: Lost Coast,,,,1,8,Very Positive
975400,Warhammer: Vermintide 2 - Back to Ubersreik,,,,1,8,Very Positive
10,Counter-Strike,,,,1,9,Overwhelmingly Positive
233700,Sword of the Stars: The Pit 2,,,,0.93,8,Very Positive
431930,Kabounce,,10,,1,8,Very Positive
835950,Transpose,,,,1,8,Very Positive
2600,Vampire: The Masquerade - Bloodlines 2,,,,0.95,8,Very Positive
