206440,"Elevator... to the Moon!",1,2,,0.46
34900,"Bad Rats: the Rats' Revenge",3,4,5,0.3
34900,"Bad Rats Show",5,,6,0.62
80,"Counter-Strike: Condition Zero",4,12,19,1
80,"Counter-Strike: Condition Zero Deleted Scenes",6,7,8,0.67
33420,"Call of Juarez: The Cartel",7,9,18,1
367520,"Hollow Knight",27,41,63,1
367520,"Hollow Knight: Silksong",,,,0.57
367520,"Hollow Knight - Godmaster",8,19,26,0.52
367520,"Hollow Knight - Hidden Dreams",1,1,1,0.45
367520,"Hollow Knight - The Grimm Troupe",2,3,4,0.41
367520,"Hollow Knight - Pale Court",2,8,26,0.5
367520,"Hollow Knight - Lifeblood",,2,4,0.52
507490,"Ashes of the Singularity: Escalation",16,23,34,1
33910,"ARMA II",17,32,68,0.71
33910,"ARMA II: Operation Arrowhead",8,8,11,0.18
33910,"Swords & Soldiers II: Shawarmageddon",6,9,,0.11
33910,"Arma 2: DayZ Mod",25,31,,0.38
33910,"ARMA II: British Armed Forces",5,6,17,0.17
33910,"ARMA II: Private Military Company",6,8,12,0.15
33910,"Battlefleet Gothic: Armada 2",44,64,93,0.21
33910,"Carmageddon TDR 2000",12,14,17,0.3
33910,"Carmageddon II: Carpocalypse Now",12,15,29,0.16
33910,"Arma 2: Free",,,,0.5
33910,"Armada 2526: Gold Edition",,,,0.24
33910,"Worms 2: Armageddon",11,15,15,0.21
33910,"Battlefleet Gothic: Armada 2 - Chaos Campaign Expansion",,14,22,0.11
33910,"Arma II: Army of the Czech Republic",,,4,0.14
33910,"Armada 2526",,,,0.55
256290,"Child of Light",11,13,15,1
256290,"Sky: Children of the Light",5,13,38,0.54
256290,"DemiKids: Light Version",11,13,,0.3
9050,"Doom 3",11,13,16,1
9050,"Doom 3: BFG Edition",10,16,37,0.32
9050,"Doom 3: Resurrection of Evil",4,5,6,0.21
9050,"Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom",3,4,3,0.08
9050,"Doom 3 Phobos",,,,0.46
9050,"Doom 3: VR Edition",11,16,35,0.33
9050,"Doom 3: The Lost Mission",2,2,2,0.25
9050,"Marvel Ultimate Alliance 3: The Black Order - Shadow of Doom DLC",3,5,,0.08
17340,"Crysis Wars",3,,,1
130,"Half-Life: Blue Shift",3,3,4,1
1020470,"Evoland: Legendary Edition",21,25,32,0.96
34010,"Alpha Protocol",13,17,26,1
34010,"Alpha Black Zero: Intrepid Protocol",,,,0.4
225260,"Brütal Legend",9,14,24,1
3720,"Evil Genius",27,29,36,1
3720,"Evil Genius 2: World Domination",26,34,48,0.35
3720,"Rescue Team: Evil Genius",,,,0.46
15700,"Oddworld: Abe's Oddysee",13,14,15,1
15700,"Oddworld: New 'n' Tasty!",7,9,11,0.46
340,"Half-Life 2: Lost Coast",,,,1
261570,"Ori and the Blind Forest",8,10,11,1
261570,"Ori and the Blind Forest: Definitive Edition",9,11,13,0.55
40,"Deathmatch Classic",2,,,1
227300,"Euro Truck Simulator 2",47,93,445,1
227300,"Euro Truck Simulator 2 - Iberia",,,,0.71
227300,"Euro Truck Simulator 2 - Road to the Black Sea",,,,0.48
227300,"Euro Truck Simulator 2 - Beyond the Baltic Sea",,,,0.48
227300,"Euro Truck Simulator 2 - Italia",,,,0.71
227300,"Euro Truck Simulator 2 - Vive la France !",,,,0.54
227300,"Euro Truck Simulator 2 - Scandinavia",,,,0.61
227300,"Euro Truck Simulator 2 - Going East!",,,,0.61
33600,"Broken Sword II: The Smoking Mirror - Remastered",7,7,8,0.9
300,"Day of Defeat: Source",2,10,,1
1215270,"Down The Rabbit Hole",2,2,3,1
1215270,"Wonderful Everyday - Down the Rabbit-Hole",39,52,52,0.46
407530,"ARK: Survival of the Fittest",100,,,1
214931,"BioShock Infinite: Burial at Sea - Episode 1",2,3,4,1
9160,"Master Levels for Doom II",7,8,9,1
42170,"Krater",17,25,47,1
520720,"Dear Esther",1,2,2,0.38
238280,"Legend of Dungeon",9,,28,1
238280,"Legend of Keepers: Career of a Dungeon Manager",22,29,65,0.37
238280,"Dungeon Siege: Legends of Aranna",8,16,21,0.28
238280,"Dandy Dungeon: Legend of Brave Yamada",10,15,,0.3
238280,"Dungeon Master II: The Legend of Skullkeep",12,21,,0.29
238280,"Dandy Dungeon - Legend of Brave Yamada -",,,,0.28
238280,"Legend of Dungeon: Masters",,,,0.65
115100,"Costume Quest",6,6,7,1
115100,"Costume Quest 2",7,8,10,0.87
